Date,Open,High,Low,Close,Volume
2022-09-22 00:00:00-04:00,374.859,376.571,371.733,372.509,89472600
2022-09-23 00:00:00-04:00,368.886,368.926,361.629,366.268,122346900
2022-09-26 00:00:00-04:00,364.735,368.518,361.371,362.645,92581200
2022-09-27 00:00:00-04:00,366.338,368.707,359.22,361.719,108294100
2022-09-28 00:00:00-04:00,362.714,370.598,360.943,368.836,110802200
2022-09-29 00:00:00-04:00,365.133,365.432,358.056,361.132,112952300
2022-09-30 00:00:00-04:00,360.146,364.237,355.408,355.547,153711200
2022-10-03 00:00:00-04:00,359.429,366.865,357.568,364.934,89756500
2022-10-04 00:00:00-04:00,370.698,376.272,364.894,376.242,103602800
2022-10-05 00:00:00-04:00,371.683,377.725,369.254,375.366,88065700
2022-10-06 00:00:00-04:00,373.903,376.989,370.976,371.494,82333500
2022-10-07 00:00:00-04:00,367.283,371.584,359.29,361.132,107789500
2022-10-10 00:00:00-04:00,362.296,362.545,356.035,358.374,76042800
2022-10-11 00:00:00-04:00,356.602,361.371,354.084,356.105,92482800
2022-10-12 00:00:00-04:00,356.533,358.175,354.671,354.93,76991800
2022-10-13 00:00:00-04:00,347.614,365.83,346.519,364.297,147254500
2022-10-14 00:00:00-04:00,366.865,368.568,355.328,355.995,123737000
2022-10-17 00:00:00-04:00,362.346,366.298,355.647,365.143,93168200
2022-10-18 00:00:00-04:00,373.415,373.734,365.84,369.434,97162900
2022-10-19 00:00:00-04:00,367.303,370.15,363.879,366.816,79746900
2022-10-20 00:00:00-04:00,366.348,370.967,362.943,363.74,88283100
2022-10-21 00:00:00-04:00,363.451,373.087,361.878,372.579,131038400
2022-10-24 00:00:00-04:00,374.172,378.323,371.405,377.138,85436900
2022-10-25 00:00:00-04:00,377.059,383.489,376.939,383.161,78846300
2022-10-26 00:00:00-04:00,379.876,385.808,379.607,380.274,104087300
2022-10-27 00:00:00-04:00,381.319,383.24,377.596,378.243,81971800
2022-10-28 00:00:00-04:00,378.134,387.739,377.944,387.242,100302000
2022-10-31 00:00:00-04:00,384.674,386.625,383.499,384.445,96631300
2022-11-01 00:00:00-04:00,388.357,388.606,381.538,382.762,85407600
2022-11-02 00:00:00-04:00,382.145,386.854,373.047,373.156,126990400
2022-11-03 00:00:00-04:00,369.772,372.49,367.104,369.314,87100100
2022-11-04 00:00:00-04:00,375.277,377.138,368.309,374.63,103505200
2022-11-07 00:00:00-05:00,375.983,378.83,373.813,378.213,68286900
2022-11-08 00:00:00-05:00,379.368,383.36,375.993,380.254,84641100
2022-11-09 00:00:00-05:00,378.193,379.398,371.902,372.42,78495500
2022-11-10 00:00:00-05:00,386.276,393.234,383.877,392.886,141455800
2022-11-11 00:00:00-05:00,393.782,397.525,391.811,396.688,93839900
2022-11-14 00:00:00-05:00,394.847,398.351,393.025,393.314,71903500
2022-11-15 00:00:00-05:00,399.316,400.471,392.687,396.668,93194500
2022-11-16 00:00:00-05:00,394.966,395.962,392.985,393.642,68508500
2022-11-17 00:00:00-05:00,388.675,393.145,388.357,392.438,74496300
2022-11-18 00:00:00-05:00,395.922,395.992,391.243,394.22,92922500
2022-11-21 00:00:00-05:00,392.836,394.011,390.865,392.786,51243200
2022-11-22 00:00:00-05:00,394.817,398.241,393.344,398.072,60429000
2022-11-23 00:00:00-05:00,397.724,401.088,397.485,400.581,68261600
2022-11-25 00:00:00-05:00,399.993,401.068,399.705,400.491,30545400
2022-11-28 00:00:00-05:00,397.266,398.978,393.304,394.1,67881600
2022-11-29 00:00:00-05:00,394.24,395.484,391.502,393.423,52310000
2022-11-30 00:00:00-05:00,393.682,405.816,391.681,405.816,144566700
2022-12-01 00:00:00-05:00,406.901,408.126,402.9,405.518,76398200
2022-12-02 00:00:00-05:00,400.411,405.996,400.302,405.05,85342700
2022-12-05 00:00:00-05:00,402.104,403.079,396.35,397.763,77289800
2022-12-06 00:00:00-05:00,397.594,398.162,389.85,392.03,77972200
2022-12-07 00:00:00-05:00,391.144,393.832,390.178,391.363,65927900
2022-12-08 00:00:00-05:00,393.334,395.544,391.472,394.429,60737900
2022-12-09 00:00:00-05:00,393.135,395.802,391.353,391.482,81447700
2022-12-12 00:00:00-05:00,392.309,397.126,391.612,397.126,75405800
2022-12-13 00:00:00-05:00,408.345,408.614,397.246,400.133,123782500
2022-12-14 00:00:00-05:00,399.774,403.646,394.498,397.574,108111300
2022-12-15 00:00:00-05:00,392.498,393.443,386.117,387.849,117705900
2022-12-16 00:00:00-05:00,385.18,386.58,381.04,383.27,119858000
2022-12-19 00:00:00-05:00,383.47,383.82,378.28,380.02,79878100
2022-12-20 00:00:00-05:00,379.23,382.23,377.85,380.54,74427200
2022-12-21 00:00:00-05:00,383.25,387.41,382.69,386.23,78167400
2022-12-22 00:00:00-05:00,383.05,386.21,374.77,380.72,100120900
2022-12-23 00:00:00-05:00,379.65,383.06,378.03,382.91,59857300
2022-12-27 00:00:00-05:00,382.79,383.15,379.65,381.4,51638200
2022-12-28 00:00:00-05:00,381.33,383.39,376.42,376.66,70911500
2022-12-29 00:00:00-05:00,379.63,384.35,379.08,383.44,66970900
2022-12-30 00:00:00-05:00,380.64,382.58,378.43,382.43,83975100
2023-01-03 00:00:00-05:00,384.37,386.43,377.83,380.82,74850700
2023-01-04 00:00:00-05:00,383.18,385.88,380.0,383.76,85934100
2023-01-05 00:00:00-05:00,381.72,381.84,378.76,379.38,76970500
2023-01-06 00:00:00-05:00,382.61,389.25,379.41,388.08,104041300
2023-01-09 00:00:00-05:00,390.37,393.7,387.67,387.86,73978100
2023-01-10 00:00:00-05:00,387.25,390.65,386.27,390.58,65358100
